S. No,Season,Home \ Away,S.No. 1,S.No. 2,S.No. 3,S.No. 4,S.No. 5,S.No. 6,S.No. 7,S.No. 8,S.No. 9,S.No. 10,S.No. 11,S.No. 12,S.No. 13,S.No. 14,S.No. 15,S.No. 16,S.No. 17,S.No. 18,S.No. 19,S.No. 20,Pos,Pld,W,D,L
20,2016-17,Villarreal,0–2,3–1,3–0,1–1,5–0,0–0,2–3,2–0,2–0,2–1,2–1,1–1,3–1,2–0,2–3,2–1,0–0,3–1,0–2,,5,38,19,10,9
1,2015-16,Athletic Bilbao,,0–1,0–1,2–1,4–1,5–2,2–1,3–1,1–1,2–2,2–0,0–0,1–0,3–1,1–2,0–1,3–1,3–0,3–1,0–0,5,38,18,8,12
2,2015-16,Atlético Madrid,2–1,,1–2,2–0,3–0,3–1,1–0,2–0,3–0,1–0,1–0,1–0,1–0,5–1,1–1,3–0,0–0,1–0,2–1,0–0,3,38,28,4,6
3,2015-16,Barcelona,6–0,2–1,,6–1,2–2,3–1,5–0,6–0,4–0,2–1,4–1,1–0,5–2,4–0,1–2,4–0,2–1,6–0,1–2,3–0,1,38,29,4,5
4,2015-16,Celta Vigo,0–1,0–2,4–1,,1–1,3–2,1–0,0–0,2–1,3–3,4–3,1–0,3–0,1–1,1–3,1–0,1–1,2–1,1–5,0–0,6,38,17,9,12
5,2015-16,Deportivo La Coruña,2–2,1–1,0–8,2–0,,2–0,3–0,0–2,0–1,1–3,2–1,3–3,2–2,2–2,0–2,0–0,1–1,2–3,1–1,1–2,15,38,8,18,12
6,2015-16,Eibar,2–0,0–2,0–4,1–1,1–1,,2–1,3–1,5–1,0–1,2–0,1–2,1–0,1–1,0–2,2–1,1–1,2–0,1–1,1–2,14,38,11,10,17
7,2015-16,Espanyol,2–1,1–3,0–0,1–1,1–0,4–2,,1–0,1–1,1–0,1–1,2–0,2–1,0–3,0–6,0–5,1–0,1–2,1–0,2–2,13,38,12,7,19
8,2015-16,Getafe,0–1,0–1,0–2,0–1,0–0,1–1,3–1,,1–2,4–0,3–0,1–0,1–1,1–0,1–5,1–1,1–1,1–1,2–2,2–0,19,38,9,9,20
9,2015-16,Granada,2–0,0–2,0–3,0–2,1–1,1–3,1–1,3–2,,3–2,5–1,0–0,2–2,1–1,1–2,0–3,2–1,2–0,1–2,1–3,16,38,10,9,19
10,2015-16,Las Palmas,0–0,0–3,1–2,2–1,0–2,0–2,4–0,4–0,4–1,,0–0,1–1,0–1,1–0,1–2,2–0,2–0,1–1,2–1,0–0,11,38,12,8,18
11,2015-16,Levante,2–2,2–1,0–2,1–2,1–1,2–2,2–1,3–0,1–2,3–2,,0–1,2–1,0–1,1–3,0–4,1–1,0–0,1–0,1–0,20,38,8,8,22
